CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-15 00:00,53.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-16 00:00,49.4,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-17 00:00,39.9,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-18 00:00,32.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-19 00:00,46.7,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-20 00:00,47.1,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-21 00:00,44.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-22 00:00,60.9,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-23 00:00,38.5,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-24 00:00,49.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-25 00:00,48,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-26 00:00,40.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-27 00:00,37,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-28 00:00,42.1,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-29 00:00,39.2,4,EST. OTROS METODOS,900
